"New address","Новый адрес"
"Select a billing address from your address book or enter a new address.","Выберите адрес из адресной книги или укажите новый адрес."
"Firstname","Имя"
"Please enter the first name.","Пожалуйста, укажите ваше Имя."
"Lastname","Фамилия"
"Please enter the last name.","Пожалуйста, укажите вашу Фамилию."
"Middlename","Отчество"
"Please enter the middle name.","Пожалуйста, укажите ваше Отчество."
"Company","Компания"
"Please enter the company.","Пожалуйста, укажите вашу Компанию."
"Email","Email"
"Please enter the email.","Пожалуйста, укажите ваш Email."
"Telephone","Телефон"
"Please enter the telephone.","Пожалуйста, укажите ваш Телефон."
"Customer Region","Выберите регион"
"Please enter the customer region.","Пожалуйста, укажите ваш Регион."
"-- Change Region --","-- Выберите регион --"
"Pickup","Я заберу товар сам(а) - Самовывоз"
"Country","Страна"
"Please enter the country.","Пожалуйста, укажите вашу Страну."
"Postcode","Почтовый индекс"
"Please enter the postcode.","Пожалуйста, укажите ваш Почтовый индекс."
"State/Province","Область/Регион"
"Please enter the state/province.","Пожалуйста, укажите вашу Область/Регион."
"Please select region, state or province","Пожалуйста, выберите вашу Область/Регион"
"City","Город/Населенный пункт"
"Please enter the city.","Пожалуйста, укажите ваш Город/Населенный пункт."
"Street","Адрес"
"Please enter the street.","Пожалуйста, укажите ваш Адрес."
"Metro","Метро"
"Please enter the metro.","Пожалуйста, укажите ближайшее Метро."
"Save in address book","Сохранить этот адрес в адресной книге"
"Checkout","Оформление заказа"
"Already registered?","Уже зарегистрированы?"
"Login","Войти"
"Customer address","Адрес доставки"
"Shipping method","Способ доставки"
"Shipping methods","Способы доставки"
"Payment method","Способ оплаты"
"Payment methods","Способы оплаты"
"Comments  to order","Комментарий к заказу"
"Sign me in this store","Зарегистрируйте меня в этом магазине"
"Enter sertificate code:","Введите код скидки:"
"Apply Coupon","Применить"
"Cancel Coupon","Отменить"
"Place Order","Оформить заказ"
"Check You Address","Пожалуйста, укажите ваш Адрес."
"Check Shipping Method","Пожалуйста, выберите способ Доставки."
"Check Payment Method","Пожалуйста, выберите способ Оплаты."
"Check Agree","Вы должны принять условия!"
"Unknown Error","Неизвестная ошибка."
"Hide","Скрыто"
"Show Not Required","Показать, Не обязательное"
"Show Required","Показать, Обязательное"
"Customer Select","Выбор пользователя"
"Customer message:","Комментарий покупателя:"
"Onestepcheckout","Одностраничная покупка"
"General","Общие настройки"
"auto_postcode","Автокомплит почтового индекса"
"geoip","Geoip"
"default_tab","Регион по умолчанию"
"show_coupon","Показать поле купона"
"yandex_address","Включить Яндекс Адрес"
"yandex_address_btn","HTML код кнопки Яндекс Адрес"
"empty_shipping_text","Текст, если нет способов доставки"
"change_links","Заменить ссылки"
"pickup_settings","Самовывоз"
"Ignore Carrier","Игнорировать способы доставки"
"Ignore Payment","Игнорировать способы оплаты"
"tab1","Первый регион"
"tab2","Второй регион"
"title","Название"
"geoip_name","Название города для Geoip"
"Region","Область/Регион"
"Please agree to all the terms and conditions before placing the order.","Перед оформлением заказа вы должны принять Соглашение о заказе."
"The onepage checkout is disabled.","Возможность оформления заказа выключена."
"Unable to set Payment Method.","Не удалось установить способ оплаты."
"There was an error processing your order. Please contact us or try again later.","В ходе обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"You are already logged!","Вы уже вошли!"
"Login and password are required.","Логин и пароль обязательные поля."
"Empty coupon","Пустой купон"
"Require completion of delivery address","Требовать заполнения адреса доставки"
"Region data","Данные региона"
"Code","Код"
"Region name","Название региона"
"Delivery zone","Зона доставки"
"Sort order","Порядок расположения"
"Alias ​​for geoip","Псевдоним для geoip"
"Delete","Удалить"
"Are you sure?","Вы уверены?"
"Region","Регион"
"Comparison of delivery and payment","Сопоставление доставки и оплаты"
"Additional settings","Дополнительные настройки"
"Adding a new region","Добавить новый регион"
"Save data","Сохранить данные"
"Download Russian regions","Загрузить регионы РФ"
"Loading...","Загрузка..."
"Data successfully saved!","Данные успешно сохранены!"
"Error saving data.","Ошибка при сохранении данных."
"Your session has expired! Please refresh the page!","Ваша сессия истекла! Пожалуйста, обновите страницу!"
"Onestepcheckout region","Настройка регионов"
"Onestepcheckout Additional","Дополнительные настройки"
"Onestepcheckout comparison","Сопоставление способов доставки и оплаты"
"Yes","Да"
"No","Нет"
"As a set of","По мере набора"
"When losing focus","При потере фокуса"
"As you type, and loss of focus","По мере набора и при потере фокуса"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Покупатель с таким email уже существует. Пожалуйста, войдите с помощью этого адреса электронной почты или введите другой адрес электронной почты, чтобы зарегистрировать аккаунт."
"Customer Address is not valid","Ошибка в адресе."
"Invalid shipping method","Неверный способ доставки"
"Postamat is not valid.","Пожалуйста, выберите постамат."
"Invalid data.","Ошибка в данных."
"Customer Address is not valid.","Не верный адрес."
"Desired date of delivery","Желаемая дата доставки"
"Password","Пароль"
"Confirm Password","Повторите пароль"
"Please enter the password.","Пожалуйста, задайте пароль."
"Please enter the confurm password.","Пожалуйста, повторите пароль."
"The desired delivery time","Желаемое время доставки"
"Subscribe for email newsletter","Подписаться на новости"